Unnamed: 0,cpu_usage,cpu_user_time,cpu_system_time,cpu_idle_time,interrupts_per_sec,ram_usage,page_faults_per_sec,disk_read_bytes,disk_write_bytes,disk_read_ops,disk_write_ops,network_sent_bytes,network_received_bytes,Network_Bytes_Total_sec,network_sent_packet,network_received_packet,type
0,66.2001486,61.02750947,5.163866186,29.90817156,2196.379505,53.69380418,9766.938737,1738708.976,1924988.236,84.62250054,317.9602831,221.7209659,2610.579105,2832.300071,4.105943813,4.406378726,normal
1,66.24773489,59.14459419,7.109852142,31.75168186,2185.411272,53.68763922,7747.548985,2463777.383,1497232.743,95.70925258,259.4250796,210.6203615,2779.068663,2989.689025,3.900377064,4.500435074,normal
2,66.90038148,46.02794011,20.87223003,29.49516707,4418.832843,54.66443795,17152.9019,18673068.86,1854228.536,519.1418768,241.2898917,209.8086341,2731.098716,2940.90735,3.885345077,4.483090473,normal
3,79.54520811,47.80621859,31.74019431,18.22437505,6617.558513,57.23249893,20702.269,21260201.08,15912390.29,531.2467377,168.2532161,262.6636373,2863.61556,3126.279197,4.615174681,4.81583445,normal
4,82.73513724,41.8731513,40.85757114,14.86118688,7302.09573,57.23078292,27985.65343,24943863.87,23609299.7,778.8728873,405.6775375,210.484576,2818.654327,3029.138903,3.897862518,4.497533675,normal
5,74.06149592,39.45465229,34.61071478,22.65734607,4584.070916,58.38318804,29308.65224,24486486.24,12839086.08,673.2951105,115.4849223,225.766018,2733.610172,2959.37619,4.203090761,4.603385119,normal
6,75.7816157,35.07759533,40.70251039,19.29681662,5719.833989,50.04699997,22606.15792,15544920.73,20444061.07,956.6732936,146.941977,237.6678948,2828.708079,3066.375974,4.401257311,4.801371612,normal
7,69.45355021,52.18677356,17.26538467,28.37464202,4875.41344,59.0597462,21512.51806,4865859.209,12696555.38,110.5980364,193.696561,232.1958775,2785.950537,3018.146414,4.299923657,4.79991478,normal
8,72.85433798,39.62642617,33.23003454,23.96137477,5112.13435,52.67988852,39859.87067,13955973.41,14623618.16,299.1397366,139.88477,221.0598721,2753.463457,2974.523329,4.093701335,4.393240457,normal
9,36.30869913,21.04786233,15.25774407,61.47313248,3748.983123,52.85835496,3753.590107,14220238.21,3435.608075,2807.155396,0.901366391,215.9273265,2667.543758,2883.471084,3.905921027,4.606983775,normal
10,37.12766347,23.32360871,13.80695231,56.2200347,2352.824071,53.19132708,3949.597223,6575350.484,6107683.666,1054.197782,74.28709511,226.4558222,2910.176981,3136.632803,4.193626337,4.692867567,normal
11,48.20065021,29.02954497,19.17045423,48.52573304,2981.61897,53.16545962,9941.000082,25864990.3,29536.95712,1650.456802,3.505430431,210.9267568,2649.504475,2860.431232,3.906051052,4.306671673,normal
12,47.42607446,32.99520846,14.43052852,45.98272657,2841.775215,53.20810598,24963.4307,71457019.47,2441510.447,667.1611969,37.1421678,228.3444563,2920.053332,3148.397788,4.093626021,5.49144954,normal
13,46.00933181,32.94213233,13.06730665,50.84974914,2331.442777,53.13024934,21514.61564,61172930.41,332500.3171,669.2456669,41.76525638,221.7464691,2728.56326,2950.309729,4.106416095,4.607198545,normal
14,42.97947268,26.44317204,16.53673296,52.20608305,3340.206825,53.2855177,15412.93679,40635957.39,94879.68615,1013.624072,14.97671501,231.8395483,2753.319287,2985.158835,4.293324968,4.692704035,normal
15,62.12931093,35.83631321,26.29039572,32.87427899,5396.58899,59.052183,20457.22164,16302903.14,16721389.12,704.9828313,175.6698233,270.0147341,2802.204097,3072.218831,4.907537822,5.007691656,normal
16,70.28035634,32.99582485,37.28606212,25.76049314,7263.730722,50.72660885,40531.80906,27783571.19,15929239.31,784.9013191,105.7979906,237.1471941,2783.08601,3020.233204,4.391614705,4.591233555,normal
17,17.45069281,15.02319145,2.425619453,80.41902265,940.1919426,48.36574179,2941.907077,7488038.097,16825.66859,193.9696932,2.404582973,294.2608414,2889.607397,3183.868239,5.009547861,4.809165947,normal
18,24.06415692,19.76519372,4.296781244,74.71778466,1179.27744,48.50798108,5602.792818,6582658.074,52939.78726,312.0940296,4.599912004,3156.039625,179267.7706,182423.8102,39.59924247,125.197605,normal
19,22.89087869,20.15618369,2.734366004,74.63139146,969.6936098,48.93539805,3963.173883,495151.937,612296.765,15.09990049,19.19987347,5183.065844,404939.6315,410122.6973,71.6995275,274.4981911,normal
20,57.95562224,30.18770722,27.76957047,38.76723396,5088.10215,50.00047666,10758.79998,3504218.285,9048048.246,108.3318452,252.1086721,144025.1414,3872463.887,4016489.029,1898.95241,2626.423215,normal
21,29.65443962,20.81414801,8.84210047,65.10519366,2521.509279,49.94867818,2266.103175,58666.08091,833017.3237,1.502388845,55.38806877,47432.21872,2059718.517,2107150.736,687.0924986,1393.215256,normal
22,32.58007411,23.98368163,8.593501562,63.89420582,2297.019538,49.87050378,2009.229619,10649.22697,855624.4283,0.399985989,40.99856386,43455.2778,1833771.565,1877226.843,622.4781952,1235.756713,normal
23,28.23731721,19.81274068,8.424314936,68.0710117,2305.884027,50.20017097,2227.706621,17585.22373,1088034.598,0.599060583,46.02782146,45245.44834,1903590.584,1948836.032,641.7935713,1281.590274,normal
24,31.01471784,21.25027944,9.76575342,66.52812284,2311.621445,50.01255238,2221.720611,106087.3842,1333106.767,2.700025048,49.800462,45656.82356,1926585.373,1972242.197,649.0060209,1298.412046,normal
25,30.43779102,20.7356416,9.702715313,66.6156934,2254.254842,50.10146782,2165.014114,281583.242,1522426.386,11.01737382,50.9803934,43180.1929,1932722.302,1975902.494,606.8569816,1301.452322,normal
26,31.8752725,22.81240875,9.06246375,64.37914348,2413.593128,50.25972332,2762.692134,428235.5808,1733268.665,12.99996299,58.39983373,42633.27862,1925528.618,1968161.896,603.3982821,1295.296312,normal
27,37.03138286,22.81245187,14.21872,58.61540832,3319.873768,50.23296607,3710.470682,18895825.09,3739618.451,554.7956163,68.29946033,42135.06707,1919742.231,1961877.298,590.9953302,1291.689794,normal
28,32.65930659,23.74892204,8.905845764,63.43705259,2075.615408,50.32664825,2666.89131,251074.5674,2069624.452,4.599812533,59.59757108,47624.45905,1922883.932,1970508.391,659.8731067,1296.347167,normal
29,33.38443884,20.12507585,13.2607089,62.32077188,2963.41331,47.1845456,5743.909734,8671736.524,8959444.817,168.8386761,147.7712837,46544.35992,1902179.459,1948723.819,653.2888574,1280.018822,normal
30,31.4547805,21.04870325,10.40697967,64.87787122,2239.407142,47.27295259,2199.444556,74253.88923,2288332.564,1.902980263,55.08627077,50361.87187,1928546.202,1978908.074,691.3827766,1297.331755,normal
31,48.67255815,25.27369477,23.40156923,47.46117711,3586.63528,47.32627644,4400.772134,517750.3024,5421655.418,12.58048119,126.9031079,143234.769,4404208.203,4547442.972,1989.213704,2961.105799,normal
32,29.03047107,17.91843674,11.11099571,65.77442947,2705.523106,47.31769633,2622.092879,224811.7132,3090750.816,4.206566115,70.40990426,56647.62243,2436031.451,2492679.074,816.3742954,1641.061567,normal
33,30.705639,20.93674042,9.765270716,65.24303298,2264.349005,47.33746237,2396.846021,194146.0276,2837644.893,3.599918926,62.29859698,52810.41066,2147391.239,2200201.649,744.4832335,1452.86728,normal
34,35.7228106,21.13970671,14.58717769,62.14778971,2834.084832,47.29602359,4507.736536,3335516.554,3107818.447,89.26408682,75.68476265,53805.07658,2267131.074,2320936.151,757.8461062,1527.174729,normal
35,31.61245524,20.18762763,11.42400633,64.25375661,2565.480629,47.11685801,3055.541012,1588487.115,3026314.865,28.84475585,64.80054526,53428.70058,2276727.797,2330156.497,756.9745303,1531.075634,normal
36,35.02895962,23.86691279,11.15349193,60.75372731,2595.728972,47.0321373,2575.861661,128403.1247,2968095.478,2.495893242,68.88665348,53868.56434,2299150.863,2353019.427,760.2490815,1550.049539,normal
37,34.05765653,23.51735235,10.54764972,61.75420785,2403.968648,47.13681474,2615.183466,119611.5912,3138575.384,2.000140318,66.80468662,49417.06681,2313488.601,2362905.667,687.5482343,1555.409118,normal
38,33.33482096,19.9526064,13.37998312,63.09955019,2809.031747,47.26170312,3025.36535,1250594.114,4016177.26,27.34216376,77.21907787,54297.13043,2323307.723,2377604.853,764.2785775,1562.209049,normal
39,30.57699366,18.95482083,11.62250331,65.4954821,2504.778861,47.18187625,2610.413494,155813.6794,3223421.053,3.494529443,67.6940275,58926.6525,2303382.64,2362309.292,818.9180141,1548.675606,normal
40,32.23805492,20.89196228,11.34582221,64.80409242,2283.075751,47.22693775,2570.02517,75484.62393,3216711.61,1.302039252,64.80149202,56339.93955,2281041.665,2337381.604,791.4395517,1536.306161,normal
41,35.17805257,23.24541556,11.93472678,62.29656349,2704.630977,47.14882689,2629.846254,259286.7254,3402627.059,4.193535922,68.79395834,52422.99318,2304123.236,2356546.229,737.9624762,1549.411677,normal
42,30.28303988,20.42213983,9.858964058,65.31499013,2362.144047,47.2462589,2498.153867,122659.6253,3214174.463,2.403708167,67.30382869,53709.45684,2311967.54,2365676.997,760.1727079,1554.097485,normal
43,29.49049809,18.17335613,11.30959931,66.52789298,2204.384387,47.15594522,2798.809416,554968.1458,3231359.151,10.58264244,65.19307086,50006.37995,2251272.781,2301279.161,706.3414646,1513.617377,normal
44,32.15840339,20.73589746,11.42430577,64.98658134,2315.66791,46.97569919,2395.394193,230919.3655,3057335.477,5.208249624,64.70248572,49540.06916,2155131.628,2204671.697,690.4937098,1448.193871,normal
45,30.93850554,18.43723155,12.499818,65.79764799,2425.063616,47.05844965,2524.662122,112126.3177,3311156.722,2.999954991,66.69899929,51467.02782,2307559.479,2359026.507,729.3890567,1550.876732,normal
46,35.09614986,23.71486832,11.38937755,60.67986264,2358.8099,47.00855786,2642.090758,244067.677,3124311.663,5.392021954,67.30042217,50891.90025,2289550.577,2340442.477,710.2491141,1539.022859,normal
47,31.92589375,18.70081769,13.22359075,64.73255063,2500.698034,47.13128532,2727.742868,277720.9998,7094397.297,5.708670269,110.4677773,50535.95348,2245919.479,2296455.433,709.7780035,1509.793058,normal
48,30.50041766,19.03243332,11.46626106,66.62815351,2291.905215,47.15683501,2310.575931,72794.62381,2918328.289,2.196554769,60.50509956,52420.87942,2122836.494,2175257.374,729.655557,1427.960287,normal
49,32.23652175,21.04893262,11.18958128,60.02973946,2853.05662,46.98427931,3056.98231,3560040.946,2737376.668,272.3349465,86.03741045,18335.08298,858033.266,876368.3489,258.7131911,578.7242812,normal
50,53.28213624,28.12446648,25.15577279,33.65663353,4473.488949,46.74206577,3180.021058,2540634.531,11300583.47,410.8898,230.9942657,215.9946381,2782.930916,2998.925554,3.999900705,4.599885811,normal
51,60.92062489,30.10905947,30.81108417,28.34097462,4562.178656,46.69573313,3505.927414,3424440.212,8204179.266,397.5793975,160.8489225,235.2328128,2765.882589,3001.115401,3.893921773,4.692674957,normal
52,57.98093322,25.90002068,32.08159661,30.40662503,4824.487128,46.78833483,1959.581695,1934408.507,8979241.013,384.1040531,248.5909413,210.9317173,2778.970289,2989.902006,3.906142913,4.707402998,normal
53,57.02131112,24.80439758,32.21451635,30.55093863,5214.21857,46.87013196,2495.636331,1638153.419,10612214.06,324.3847991,419.1343141,210.2660471,2774.59328,2984.859327,3.893815686,4.692547109,normal
